city,state_id,state_name,county_name,lat,lng,timezone
Joppatowne,MD,Maryland,Harford,39.4181,-76.3516,America/New_York
Jupiter Farms,FL,Florida,Palm Beach,26.9222,-80.2189,America/New_York
Salisbury,NY,New York,Nassau,40.7454,-73.5604,America/New_York
Englewood,OH,Ohio,Montgomery,39.8643,-84.3070,America/New_York
Moody,AL,Alabama,St. Clair,33.5986,-86.4963,America/Chicago
Blue Ash,OH,Ohio,Hamilton,39.2480,-84.3827,America/New_York
Pottsville,PA,Pennsylvania,Schuylkill,40.6798,-76.2091,America/New_York
Sault Ste. Marie,MI,Michigan,Chippewa,46.4817,-84.3723,America/Detroit
Chino Valley,AZ,Arizona,Yavapai,34.7594,-112.4120,America/Phoenix
Washington,PA,Pennsylvania,Washington,40.1741,-80.2465,America/New_York
Lake Forest Park,WA,Washington,King,47.7574,-122.2864,America/Los_Angeles
Pell City,AL,Alabama,St. Clair,33.5610,-86.2669,America/Chicago
Western Springs,IL,Illinois,Cook,41.8023,-87.9006,America/Chicago
Atlantic Beach,FL,Florida,Duval,30.3375,-81.4127,America/New_York
Henderson,TX,Texas,Rusk,32.1576,-94.7960,America/Chicago
Conway,FL,Florida,Orange,28.4968,-81.3316,America/New_York
Harrison,WI,Wisconsin,Calumet,44.1935,-88.2941,America/Chicago
Nesconset,NY,New York,Suffolk,40.8467,-73.1522,America/New_York
Steamboat Springs,CO,Colorado,Routt,40.4777,-106.8243,America/Denver
Bonita,CA,California,San Diego,32.6651,-117.0296,America/Los_Angeles
Kingston,PA,Pennsylvania,Luzerne,41.2652,-75.8876,America/New_York
Franklin Park,NJ,New Jersey,Somerset,40.4439,-74.5431,America/New_York
North Fair Oaks,CA,California,San Mateo,37.4754,-122.2034,America/Los_Angeles
Portland,TN,Tennessee,Sumner,36.5921,-86.5239,America/Chicago
Bexley,OH,Ohio,Franklin,39.9650,-82.9343,America/New_York
Coatesville,PA,Pennsylvania,Chester,39.9849,-75.8200,America/New_York
South Daytona,FL,Florida,Volusia,29.1657,-81.0055,America/New_York
Butler,PA,Pennsylvania,Butler,40.8616,-79.8962,America/New_York
Trenton,OH,Ohio,Butler,39.4792,-84.4620,America/New_York
